4594432368,21.4333409,41.9957551,Stopanska Banka,Kej 13 emvri,24h,,
4938101522,21.4378292,41.9917059,Sparkasse,Bulevar Koco Racin,24h,yes,
5054709626,21.5041118,42.0035936,NLB Tutunska Banka,Madzari,24h,,
6030006585,21.4344946,41.9974347,HalkBank,11 Mart,24h,,yes
6030006586,21.4328457,41.9952698,Ohridska Banka,Kej 13 Noemvri,24h,,yes
6054036209,21.4276726,41.9963482,NLB Banka,Vasil Glaviv,Mo-Fr 08:00-17:00; Sa 09:00-13:00,,yes
6054048723,21.4184814,41.9993025,Sparkasse,Rajko Zhinzifov,24h,yes,yes
6277304326,21.4457121,42.0142495,Halkbank,Bulevar Hristijan Todorovski Karposh,24h,yes,yes
6287292136,21.4701282,41.9837535,Sparkasse,Bulevar Jane Sandanski,24h,,yes
7133065638,21.3597505,42.0065804,Ohridska Banka,Mice Kozar,24h,yes,yes
7133065639,21.3570683,42.0067318,Stopanska Banka,Vojvoda Vasil Cakalarov,24h,,yes
7133065640,21.359169,42.0065931,HalkBank,Vojvoda Vasil Cakalarov,24h,,
7133065642,21.3575725,42.0067621,Uni Banka,Vojvoda Vasil Cakalarov,24h,,yes
7133321080,21.3746296,42.0032539,Sparkasse,Angel Dinev,24h,yes,yes
7133424007,21.4087112,41.9972771,Sparkasse,Ankarska,24h,,
7133436089,21.4185028,41.9992882,Sparkasse,Rajko Zhinzifov,24h,yes,yes
7133438548,21.4252244,41.9984598,Sparkasse,Bulevar Partizanski Odredi,24h,yes,yes
7133445813,21.4297565,41.9970916,Sparkasse,Orce Nikolov,24h,yes,
7133445908,21.4323164,41.9952018,Sparkasse,11 Oktomvri,24h,yes,
7136180065,21.4701949,41.9837158,Sparkasse,Bulevar Jane Sandanski,24h,yes,yes
7136180066,21.4699015,41.9838577,Ohridska Banka,Bulevar Jane Sandanski,24h,yes,yes
7136505913,21.3967495,42.0033653,Sparkasse,Bulevar Partizanski Odredi,24h,yes,
7136914205,21.4616683,42.0025929,Sparkasse,Jani Lukrovski,24h,,yes
7136914208,21.4617348,42.0026662,Silk Road Bank,Jani Lukrovski,24h,,yes
7136956046,21.4837986,41.9844079,Sparkasse,Bulevar Fevruarski Pohod,24h,yes,yes
7137056772,21.4618738,42.0038552,Ohridska Banka,Jani Lukrovski,24h,yes,yes
7137063836,21.442704,42.0134867,Ohridska Banka,Dzon Kenedi,24h,yes,
7137078903,21.427607,41.9937895,Ohridska Banka,Dame Gruev,24h,yes,
7137091823,21.3974984,42.0024787,Ohridska Banka,Bulevar Partizanski Odredi,24h,yes,
7137106710,21.4341214,41.9916024,Ohridska Banka,Bulevar Koco Racin,24h,yes,
7137143985,21.4550178,41.988115,Ohridska Banka,Bulevar Jane Sandanski,24h,yes,yes
7138812609,21.430463,41.9941588,Ohridska Banka,Dimitrie Chupovski,24h,,
7138828587,21.4838556,41.9844901,Ohridska Banka,Bulevar Fevruarski Pohod,24h,yes,yes
7138849110,21.5008435,41.995781,Ohridska Banka,Madzari,24h,,
7138855081,21.4414426,41.9928708,Ohridska Banka,Prolet,24h,yes,yes
7138883012,21.4438029,41.9771994,Ohridska Banka,Narodni Heroi,24h,yes,yes
7138995761,21.3925052,42.0045231,Ohridska Banka,Bulevar Partizanski Odredi,24h,yes,yes
7139054635,21.4079598,42.0028088,Ohridska Banka,Bulevar Partizanski Odredi,24h, ,
7139055367,21.3745188,42.0072387,Ohridska Banka,Bulevar Partizanski Odredi,24h,yes,yes
7777777777,21.418512,41.9992965,Sparkasse,Rajko Zhinzifov,24h,yes,yes
